sbj	block	trial	type	sacc_dir	sacc_magn	sacc_time
2	3	32	0	0	1015.900000	183.000000
2	3	33	1	1	277.600000	334.000000
2	3	34	1	0	1051.900000	266.000000
2	3	35	1	0	1035.000000	256.000000
2	3	36	1	0	1015.300000	254.000000
2	3	37	0	1	253.000000	159.000000
2	3	38	1	0	1022.700000	194.000000
2	3	39	1	0	1013.500000	294.000000
2	3	40	0	1	933.000000	263.000000
2	3	41	0	0	233.900000	348.000000
2	3	42	0	0	321.900000	377.000000
2	3	43	0	0	980.300000	182.000000
2	3	44	0	1	342.600000	204.000000
2	3	45	0	1	982.300000	256.000000
2	3	46	0	0	321.800000	273.000000
2	3	47	0	0	288.600000	258.000000
2	3	48	1	0	1012.700000	281.000000
2	3	49	0	1	306.600000	200.000000
2	3	50	1	0	1016.500000	458.000000
2	3	51	1	0	423.500000	313.000000
2	3	52	0	0	1003.200000	276.000000
2	3	53	1	1	294.100000	364.000000
2	3	54	0	0	306.300000	283.000000
2	3	55	1	1	306.400000	331.000000
2	3	56	1	1	287.100000	265.000000
2	3	57	0	0	271.300000	340.000000
2	3	58	1	1	252.700000	234.000000
2	3	59	1	0	976.200000	193.000000
2	3	60	0	1	291.400000	302.000000
2	3	61	1	0	959.900000	208.000000
2	3	62	1	0	1026.300000	231.000000
2	3	63	0	0	934.200000	469.000000
2	3	64	1	1	304.000000	388.000000
2	3	65	1	1	241.900000	195.000000
2	3	66	0	1	280.400000	180.000000
2	3	67	0	1	249.300000	288.000000
2	3	68	0	0	1017.900000	208.000000
2	3	69	1	1	314.700000	533.000000
2	3	70	1	0	999.900000	302.000000
2	3	71	0	0	1002.900000	240.000000
2	3	72	1	1	275.300000	275.000000
2	3	73	0	0	294.700000	392.000000
2	3	74	1	0	261.100000	299.000000
2	3	75	0	1	682.600000	464.000000
2	3	76	1	0	1000.600000	196.000000
2	3	77	1	1	280.100000	272.000000
2	3	78	1	1	275.900000	260.000000
2	3	79	0	0	1011.300000	219.000000
2	3	80	0	1	284.000000	196.000000
2	3	81	0	0	982.400000	181.000000
2	3	82	1	1	301.200000	215.000000
2	3	83	0	1	290.500000	262.000000
2	3	84	1	0	326.600000	316.000000
2	3	85	1	0	1002.800000	243.000000
2	3	86	0	0	319.500000	304.000000
2	3	87	0	0	312.900000	460.000000
2	3	88	0	0	276.000000	354.000000
